"CAS No.","Chemical Name","Species Name","Common Name","Effect","Measurement","Endpoint","Dur (Std)","Conc. Type","Conc. Mean (Std)","Conc. Units (Std)","Pub. Year","Citation"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","LD50","2","Formulation","681","AI mg/kg bdwt","1976","Wivagg,R.T., J.M. Jaffe, and J.L. Colaizzi. Influence of pH and Route of Injection on Acute Toxicity of Tetracycline in Mice. J. Pharm. Sci.65(6): 916-918, 1976. ECOREF #102649"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","LD50","60","Formulation","830","AI mg/kg bdwt","1964","Tubaro,E., M. Barletta, and F. Banci. Some Pharmacological Aspects of a New Water-Soluble Tetracycline. J. Pharm. Pharmacol.16:33-37, 1964. ECOREF #102444"
"50351","Thalidomide","Rattus norvegicus","Norway Rat","Mortality","Mortality","LOEL","24","Formulation","1000","AI mg/kg food","1965","McColl,J.D., M. Globus, and S. Robinson. Effect of Some Therapeutic Agents on the Developing Rat Fetus. Toxicol. Appl. Pharmacol.7:409-417, 1965. ECOREF #158823"
"439145","Diazepam","Peromyscus maniculatus","Deer Mouse","Mortality","Mortality","LD50","3","Active ingredient","1070","AI mg/kg bdwt","1985","Schafer,E.W.,Jr., and W.A.,Jr. Bowles. Acute Oral Toxicity and Repellency of 933 Chemicals to House and Deer Mice. Arch. Environ. Contam. Toxicol.14(1): 111-129, 1985. ECOREF #35426"
"60560","Methimazole","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-ZERO",".6667","Active ingredient","1125","AI mg/kg bdwt","2006","Mattioli,F., A. Martelli, M. Gosmar, C. Garbero, V. Manfredi, E. Varaldo, G.C. Torre, and G. Brambilla. DNA Fragmentation and DNA Repair Synthesis Induced in Rat and Human Thyroid Cells by Chemicals Carcinogenic to the Rat Thyroid. Mutat. Res.609(2): 146-153, 2006. ECOREF #90296"
"64755","Tetracycline hydrochloride","Peromyscus maniculatus","Deer Mouse","Mortality","Mortality","LD50","3","Active ingredient","1600","AI mg/kg bdwt","1985","Schafer,E.W.,Jr., and W.A.,Jr. Bowles. Acute Oral Toxicity and Repellency of 933 Chemicals to House and Deer Mice. Arch. Environ. Contam. Toxicol.14(1): 111-129, 1985. ECOREF #35426"
"50351","Thalidomide","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","12","Formulation","2000","AI mg/kg bdwt","1982","Chernoff,N., and R.J. Kavlock. An In Vivo Teratology Screen Utilizing Pregnant Mice. J. Toxicol. Environ. Health10:541-550, 1982. ECOREF #58855"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","LD50","7","Formulation","2550","AI mg/kg food","1964","Tubaro,E., M. Barletta, and F. Banci. Some Pharmacological Aspects of a New Water-Soluble Tetracycline. J. Pharm. Pharmacol.16:33-37, 1964. ECOREF #102444"
"2392394","Dexamethasone sodium phosphate","Macropus eugenii","Tammar Wallaby","Mortality","Mortality","NR",".9375","Formulation","4000","AI mg/kg bdwt","1996","Shaw,G., M.B. Renfree, and T.P. Fletcher. A Role for Glucocorticoids in Parturition in a Marsupial, Macropus eugenii. Biol. Reprod.54(3): 728-733, 1996. ECOREF #168070"
"2392394","Dexamethasone sodium phosphate","Macropus eugenii","Tammar Wallaby","Mortality","Mortality","NR",".9542","Formulation","4000","AI mg/kg bdwt","1996","Shaw,G., M.B. Renfree, and T.P. Fletcher. A Role for Glucocorticoids in Parturition in a Marsupial, Macropus eugenii. Biol. Reprod.54(3): 728-733, 1996. ECOREF #168070"
"2392394","Dexamethasone sodium phosphate","Macropus eugenii","Tammar Wallaby","Mortality","Mortality","NR",".9625","Formulation","4000","AI mg/kg bdwt","1996","Shaw,G., M.B. Renfree, and T.P. Fletcher. A Role for Glucocorticoids in Parturition in a Marsupial, Macropus eugenii. Biol. Reprod.54(3): 728-733, 1996. ECOREF #168070"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","91","Active ingredient","47870","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","91","Active ingredient","47870","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-ZERO","91","Active ingredient","47870","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-ZERO","91","Active ingredient","47870","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","14","Active ingredient","50000","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Mus musculus","House Mouse","Mortality","Mortality","NR-ZERO","14","Active ingredient","50000","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-ZERO","14","Active ingredient","50000","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
"64755","Tetracycline hydrochloride","Rattus norvegicus","Norway Rat","Mortality","Mortality","NR-ZERO","14","Active ingredient","50000","AI mg/kg food","1989","National Toxicology Program. Toxicology and Carcinogenesis Studies of Tetracycline Hydrochloride (CAS No.64-75-5) in F344/N Rats and B6C3F1 Mice (Feed Studies). Natl. Toxicol. Program Tech. Rep. Ser.344:174 p., 1989. ECOREF #168888"
